uid,articles
u105444,"[293538, 293154, 294637, 295108, 294448, 2458]"
u102317,"[5762, 5732, 7256, 7679, 6402, 512913]"
u108735,"[1675, 1881, 3291, 2725, 2515, 323199]"
u103507,"[321995, 323312, 324595, 324250, 324598, 473533]"
u107546,"[322161, 324461, 322685, 323043, 323817, 470643]"
u103615,"[321884, 323944, 323028, 324704, 322128, 517268]"
u103871,"[323384, 322875, 321851, 323996, 323598, 472382]"
u105959,"[293381, 294616, 292673, 294898, 294634, 852]"
u103216,"[324040, 321943, 323546, 324442, 323401, 472611]"
u102119,"[5021, 7406, 6791, 7702, 4958, 487481]"
u107939,"[324190, 322671, 323138, 322513, 324366, 474969]"
u107087,"[324731, 321867, 323788, 322179, 322676, 471802]"
u106539,"[324489, 322578, 324661, 322747, 323907, 617]"
u105887,"[293122, 292920, 293811, 294468, 292942, 2153]"
u107490,"[322336, 323476, 324178, 321880, 323863, 301]"
u101185,"[7679, 7227, 6650, 7058, 5110, 513120]"
u104480,"[322133, 322728, 322922, 321959, 323090, 532436]"
u107673,"[324470, 37, 323601, 322212, 324747, 471257]"
u108841,"[3100, 1816, 957, 2938, 3481, 323506]"
u108417,"[768, 1105, 640, 2633, 2057, 324438]"
u103522,"[323113, 323502, 322536, 324181, 38, 108]"
u107235,"[322928, 321923, 322934, 322802, 321851, 472263]"
u107629,"[324344, 322468, 323450, 324152, 323504, 472019]"
u108966,"[3461, 1241, 1623, 1086, 2896, 321912]"
u103809,"[323476, 324696, 323240, 324694, 322401, 533433]"
u104366,"[323376, 322749, 322143, 324088, 322310, 519922]"
u107897,"[322138, 324154, 321903, 323718, 324690, 472211]"
u103976,"[324218, 322371, 323270, 324034, 323492, 474264]"
u101830,"[4923, 5764, 6658, 7113, 5425, 513176]"
u103285,"[324186, 323538, 323591, 324458, 82, 533148]"
u106926,"[323109, 324124, 323054, 323359, 322267, 2013]"
u107001,"[323521, 323510, 322803, 323864, 322034, 474798]"
u105449,"[290120, 293687, 293876, 293185, 294554, 1233]"
u105504,"[294051, 295145, 294818, 295293, 293065, 3341]"
u106241,"[323371, 324406, 324140, 322034, 322500, 1666]"
u102711,"[7479, 5109, 7876, 5515, 5949, 512878]"
u105662,"[294138, 290229, 290189, 292815, 293416, 1391]"
u105505,"[293745, 293071, 290146, 295272, 292874, 675]"
u102169,"[7769, 5354, 6382, 6882, 4952, 495539]"
u105439,"[294329, 293806, 294470, 294800, 294527, 3494]"
u102565,"[7180, 7463, 7129, 6016, 7706, 513273]"
u103385,"[324123, 322762, 324137, 324090, 322531, 472403]"
u107516,"[324136, 324281, 322067, 321954, 324252, 471666]"
u102733,"[7567, 5790, 5124, 6562, 4908, 495287]"
u106085,"[322949, 323832, 321944, 323766, 323159, 3555]"
u102901,"[7835, 6383, 7866, 6684, 7177, 512664]"
u108509,"[2988, 1508, 2917, 1881, 1098, 321923]"
u107834,"[321847, 324037, 323898, 322180, 322858, 472289]"
u105013,"[294037, 293670, 294214, 294606, 292733, 1308]"
u106796,"[323723, 322086, 322805, 324641, 324072, 3308]"
u104747,"[322067, 324573, 324282, 322004, 321888, 472959]"
u102376,"[5383, 5176, 7203, 6862, 6084, 488271]"
u103523,"[323193, 323976, 323860, 323561, 322631, 473945]"
u103998,"[323845, 323233, 322635, 324607, 322972, 474265]"
u101113,"[7438, 6486, 6626, 5274, 5291, 487390]"
u107973,"[322874, 322833, 322779, 324052, 323445, 474942]"
u104162,"[322279, 322826, 322372, 101, 321939, 473323]"
u106626,"[323304, 323883, 321841, 324644, 324181, 768]"
u107725,"[323715, 322525, 322650, 324533, 322262, 474564]"
u107707,"[323974, 324304, 322187, 323730, 322535, 471025]"
u103660,"[324660, 321977, 324116, 323495, 321842, 531080]"
u102228,"[6121, 5082, 5546, 6964, 7205, 488298]"
u108294,"[2495, 627, 1858, 3296, 2228, 321923]"
u101025,"[5333, 6220, 5606, 6354, 6838, 488208]"
u108822,"[3053, 2647, 875, 2684, 2442, 323498]"
u107199,"[322701, 324663, 323501, 323901, 322765, 471515]"
u106129,"[323621, 324676, 323931, 321988, 323545, 2819]"
u107564,"[321893, 322217, 324689, 324318, 321912, 385]"
u103617,"[322008, 324588, 323502, 322288, 324406, 473624]"
u105155,"[294241, 292692, 293536, 293869, 295302, 1118]"
u103727,"[323855, 323005, 324039, 324423, 322381, 531916]"
u101955,"[6880, 6899, 6337, 6723, 5516, 488239]"
u106154,"[322779, 322247, 324486, 322244, 322711, 2777]"
u104431,"[323127, 324454, 322869, 323163, 322488, 474094]"
u108102,"[2589, 3102, 3156, 3460, 2422, 324711]"
u108969,"[1014, 888, 915, 2072, 2419, 324084]"
u108438,"[688, 2715, 2492, 3022, 3558, 322333]"
u107228,"[56, 322590, 322157, 322304, 322858, 470680]"
u103651,"[322398, 324239, 85, 322694, 322678, 472568]"
u107957,"[323208, 322426, 324684, 323333, 323922, 471804]"
u103902,"[322349, 324658, 323227, 323353, 323391, 473020]"
u107829,"[324757, 324522, 323142, 322256, 324694, 471303]"
u104725,"[324250, 323091, 324180, 321898, 322356, 473828]"
u103320,"[324349, 322381, 323942, 322939, 323588, 472945]"
u104311,"[323345, 324038, 321847, 322725, 323003, 472439]"
u103097,"[323099, 324076, 323403, 324464, 324056, 511386]"
u101716,"[5265, 7109, 7023, 5583, 5308, 511608]"
u108175,"[2210, 1936, 1067, 916, 1132, 324335]"
u102469,"[7882, 6954, 5534, 7073, 6203, 486984]"
u108708,"[2643, 1654, 2424, 2870, 2039, 323255]"
u106656,"[322634, 324750, 322623, 322887, 323862, 2835]"
u108086,"[748, 3257, 1728, 1155, 1494, 324700]"
u103814,"[322386, 322021, 323657, 321943, 322131, 512745]"
u101889,"[6989, 5232, 6336, 5823, 5764, 513152]"
u108865,"[2587, 3296, 2135, 3226, 1401, 322595]"
u104640,"[323387, 323686, 323363, 323507, 322182, 472628]"
u103803,"[322652, 324717, 324575, 323818, 324017, 474220]"
u104048,"[322230, 323952, 92, 323280, 323836, 472706]"
u108255,"[2253, 3027, 2339, 3370, 678, 323230]"
u101720,"[7324, 4973, 7026, 4897, 5957, 512682]"
u104355,"[323803, 322384, 324126, 322303, 324364, 532160]"
u102994,"[6801, 5168, 6206, 6658, 7464, 513275]"
u104214,"[322584, 323893, 322615, 324668, 322627, 473111]"
u107326,"[322442, 322743, 324014, 324201, 324634, 472013]"
u104111,"[323524, 322534, 323505, 322745, 323049, 472549]"
u103392,"[323970, 322689, 321898, 324116, 323089, 530678]"
u103438,"[322345, 322411, 323744, 324171, 324205, 473750]"
u102566,"[7582, 6764, 5020, 6800, 7728, 486895]"
u108512,"[2422, 1350, 2292, 3238, 2309, 322752]"
u106998,"[322545, 322077, 323752, 324229, 323352, 2519]"
u104473,"[321960, 324691, 324338, 322219, 324234, 472873]"
u105885,"[294832, 294743, 293672, 294454, 295173, 2767]"
u105975,"[292958, 295293, 295012, 293090, 293534, 614]"
u103705,"[322322, 323917, 324229, 322052, 323745, 531476]"
u106346,"[324027, 323989, 324381, 323796, 322079, 2920]"
u107493,"[322375, 321854, 324242, 322411, 322337, 471671]"
u107747,"[323763, 322833, 322384, 322074, 324589, 471772]"
u106851,"[323181, 322843, 323028, 323822, 323502, 1266]"
u107188,"[322511, 322205, 323726, 324298, 322063, 474514]"
u103826,"[323053, 323799, 322311, 323129, 324498, 473727]"
u105963,"[294175, 290184, 294747, 293759, 295313, 2107]"
u108154,"[863, 827, 647, 1844, 1997, 321870]"
u107260,"[323100, 324541, 323268, 322483, 321956, 474572]"
u104367,"[323020, 324704, 323233, 322180, 324669, 473500]"
u106528,"[323567, 322174, 323725, 324730, 322294, 2220]"
u102481,"[7692, 6862, 5578, 7679, 6075, 488406]"
u101543,"[7736, 5350, 6980, 6899, 7888, 512899]"
u103208,"[322685, 323995, 321861, 322935, 323998, 533048]"
u108033,"[1614, 1972, 1682, 905, 1788, 323147]"
u107533,"[324084, 324587, 324018, 324299, 52, 471381]"
u108299,"[1629, 2773, 3110, 3319, 1955, 322000]"
u103753,"[323102, 324555, 323026, 323863, 322498, 473321]"
u102790,"[7064, 5717, 7588, 7332, 5760, 487531]"
u101605,"[6030, 5522, 5641, 7311, 7466, 487706]"
u107303,"[323112, 324279, 322011, 322923, 323579, 474618]"
u108334,"[1053, 1247, 1179, 2475, 2385, 324739]"
u105283,"[290163, 294919, 294859, 294089, 294789, 2837]"
u104803,"[322704, 322547, 324269, 322397, 324519, 473794]"
u102427,"[7786, 6838, 6611, 6173, 5524, 488358]"
u102042,"[5520, 4898, 5153, 5477, 5245, 487261]"
u105832,"[292963, 292667, 295369, 290123, 294232, 2525]"
u105335,"[294222, 294273, 293523, 293529, 292656, 2917]"
u105417,"[293489, 292931, 292910, 294250, 295215, 945]"
u104007,"[321966, 322935, 322075, 322612, 323118, 473978]"
u106863,"[323213, 321942, 323019, 324377, 323750, 3259]"
u103007,"[323394, 323853, 322777, 322091, 324255, 472836]"
u103347,"[323298, 324565, 323995, 323383, 323332, 472738]"
u105133,"[292929, 295146, 295114, 293935, 293431, 2358]"
u102668,"[5896, 6998, 5229, 7309, 6898, 513253]"
u107448,"[322283, 324304, 324546, 322392, 322792, 474734]"
u108365,"[790, 3451, 2340, 1699, 1745, 323800]"
u102497,"[7862, 5091, 7518, 5695, 7518, 513331]"
u104994,"[322498, 323561, 323917, 322638, 324257, 532715]"
u103535,"[322065, 322037, 323234, 323520, 322179, 530910]"
u102086,"[7626, 7639, 5416, 6476, 7532, 513216]"
u101280,"[5729, 6179, 7209, 6830, 7271, 512884]"
u102661,"[6985, 7251, 6618, 6296, 7018, 488315]"
u108470,"[2259, 2955, 2350, 3497, 708, 323212]"
u104943,"[323885, 323854, 323895, 324727, 323624, 473418]"
u103918,"[324111, 324109, 323747, 323309, 323104, 473990]"
u107217,"[92, 323464, 324189, 323438, 321890, 472074]"
u105659,"[294829, 293817, 294618, 293457, 295036, 1121]"
u105598,"[293880, 294547, 293461, 293598, 293561, 678]"
u108927,"[1529, 1102, 2505, 2133, 2132, 323649]"
u102514,"[6544, 5898, 6631, 6454, 7362, 487603]"
u106752,"[324438, 322727, 322637, 324630, 322328, 3462]"
u108479,"[1230, 2440, 2617, 1741, 986, 322450]"
u102559,"[5855, 5274, 5705, 5074, 6034, 487162]"
u101828,"[6741, 6328, 6539, 5607, 7058, 511302]"
u108503,"[2786, 1562, 1827, 2412, 1676, 99]"
u105875,"[293050, 290123, 295296, 292805, 294417, 1429]"
u106066,"[323601, 321920, 324573, 322702, 324229, 1041]"
u103983,"[324735, 323550, 324038, 322879, 324464, 473185]"
u105336,"[294329, 294439, 292711, 293981, 295384, 3483]"
u103105,"[322579, 323185, 323074, 323049, 323519, 531987]"
u106139,"[324447, 324547, 323230, 322957, 322276, 2251]"
u107701,"[324020, 322018, 322799, 322141, 322794, 498]"
u102651,"[5123, 6268, 6178, 7105, 5368, 486904]"
u102515,"[5779, 7861, 5814, 6479, 7643, 486945]"
u104739,"[323729, 323477, 322636, 324588, 321926, 531894]"
u106296,"[323556, 322201, 323309, 322960, 323556, 3329]"
u108658,"[2807, 1621, 1963, 644, 873, 323450]"
u105609,"[293928, 293878, 294501, 293802, 294604, 3324]"
u104441,"[322541, 322550, 324175, 323304, 323543, 472459]"
u102454,"[7544, 7867, 6828, 7129, 5200, 511419]"
u101795,"[5010, 7530, 7441, 6137, 6851, 487643]"
u108006,"[2295, 762, 3444, 783, 2395, 323908]"
u106231,"[321928, 322875, 323704, 322919, 322792, 2672]"
u101324,"[6224, 4897, 5570, 4921, 5879, 487044]"
u104250,"[324666, 321873, 323921, 324713, 323339, 517900]"
u105408,"[294702, 293134, 293752, 293949, 293711, 3282]"
u105303,"[295274, 295351, 293574, 294198, 293000, 3006]"
u108794,"[2942, 3367, 2660, 2271, 718, 322521]"
u102483,"[6535, 6455, 5300, 6048, 7215, 495493]"
u108764,"[1570, 2391, 2325, 2885, 1056, 323024]"
u101731,"[5136, 6577, 7413, 6508, 6462, 495394]"
u102480,"[6018, 6424, 7417, 5052, 7835, 487000]"
u101758,"[7601, 6512, 7315, 5890, 6503, 487230]"
u105006,"[294458, 295353, 293890, 293571, 294915, 2461]"
u103067,"[322438, 322577, 322786, 321924, 324460, 473596]"
u108094,"[2047, 2078, 1151, 2633, 2961, 323304]"
u101429,"[7106, 7131, 6347, 5802, 7704, 495241]"
u106439,"[322797, 324237, 324653, 65, 323161, 1903]"
u104147,"[322110, 322787, 321973, 323663, 324759, 533040]"
u105626,"[294350, 293137, 293142, 295384, 293494, 2917]"
u107991,"[324494, 323741, 324465, 323704, 323644, 474315]"
u106254,"[322024, 323084, 323387, 322804, 323846, 2336]"
u102773,"[7268, 5064, 5301, 7517, 5292, 495524]"
u104493,"[69, 322056, 324201, 323370, 323776, 473628]"
u103837,"[324202, 322630, 323852, 321869, 322633, 473093]"
u108839,"[2467, 2491, 2963, 848, 3451, 322463]"
u104371,"[323557, 324097, 322825, 323290, 324282, 473682]"
u107117,"[323880, 321963, 321890, 321953, 322760, 474947]"
u105318,"[293415, 292765, 293791, 294452, 290208, 729]"
u105479,"[295117, 292732, 294397, 294167, 293693, 3562]"
u107125,"[323346, 323943, 323164, 323595, 323408, 470409]"
u104674,"[322040, 324671, 323073, 323649, 322051, 474044]"
u108316,"[1320, 1582, 1105, 2227, 1263, 323767]"
u105237,"[293178, 294781, 294056, 290135, 294261, 2288]"
u107161,"[322275, 323327, 323931, 322288, 323342, 534]"
u106333,"[321899, 322835, 323566, 323041, 324203, 2470]"
u105137,"[295292, 292721, 293384, 293700, 293116, 1195]"
u104585,"[322290, 324411, 324650, 322393, 323770, 472838]"
u102739,"[5814, 6120, 5844, 5104, 5094, 512686]"
u103876,"[324448, 321964, 324529, 322131, 324477, 473759]"
u105149,"[294983, 294111, 293424, 290177, 293866, 2443]"
u104273,"[323864, 324482, 324029, 324675, 324678, 532295]"
u104022,"[322746, 323748, 323385, 322972, 322784, 474210]"
u106933,"[322418, 322307, 324598, 323888, 321870, 1989]"
u101317,"[7307, 5685, 6848, 7571, 6857, 487910]"
u107266,"[324678, 322060, 324623, 323471, 322603, 472039]"
u103498,"[324075, 324277, 321921, 323869, 322027, 473166]"
u102002,"[6628, 6808, 5923, 6070, 5041, 513120]"
u103021,"[324554, 322992, 323242, 324459, 323507, 533541]"
u103737,"[324723, 323054, 322068, 46, 321896, 473494]"
u101774,"[6727, 7876, 5577, 5098, 5044, 512707]"
u102894,"[5953, 5926, 5028, 7559, 5070, 487178]"
u102018,"[5228, 5991, 7023, 5463, 7513, 511562]"
u108954,"[928, 3104, 692, 847, 1034, 322241]"
u101978,"[5411, 6390, 5434, 6038, 4980, 487436]"
u101487,"[4901, 5747, 7860, 6695, 5481, 495408]"
u104593,"[322165, 323789, 322152, 322583, 322272, 522948]"
u101801,"[5080, 5766, 6587, 7140, 5993, 513383]"
u106742,"[324417, 323744, 322715, 324704, 324488, 1833]"
u101651,"[5215, 6619, 6845, 5473, 5153, 488416]"
u103291,"[323954, 323233, 323340, 323715, 321868, 474121]"
u105903,"[290073, 292609, 293815, 294448, 290138, 1466]"
u104422,"[322113, 103, 324093, 322427, 323033, 472965]"
u105587,"[294330, 295145, 294914, 290218, 290100, 666]"
u105299,"[294418, 294384, 293379, 292891, 293731, 3104]"
u103076,"[324307, 322036, 324597, 324032, 323837, 472957]"
u101095,"[6002, 5945, 7852, 7043, 6420, 513188]"
u104308,"[324739, 322899, 324413, 324225, 322819, 532503]"
u108908,"[1260, 2400, 2583, 3554, 655, 323307]"
u102829,"[7276, 5410, 5105, 7484, 6818, 487484]"
u107024,"[322783, 321887, 324464, 322685, 321948, 327]"
u102784,"[4917, 6373, 5906, 6144, 6438, 487752]"
u108041,"[831, 2570, 2217, 3498, 2903, 323398]"
u103024,"[322176, 52, 322011, 323185, 323125, 532950]"
u102933,"[6548, 5902, 6204, 7542, 6732, 513012]"
u108654,"[604, 2283, 3438, 2345, 1924, 322518]"
u104996,"[324110, 322516, 323086, 323606, 323354, 473682]"
u103430,"[322990, 321959, 321848, 322897, 322316, 473103]"
u104014,"[324454, 322645, 323129, 73, 322303, 473106]"
u102705,"[7811, 5111, 6138, 6167, 7738, 487684]"
u107311,"[322324, 323292, 322791, 322392, 323736, 474385]"
u105869,"[294870, 293639, 293180, 292908, 294701, 2056]"
u104894,"[324415, 323323, 324128, 324019, 322126, 529909]"
u105833,"[293700, 290200, 294398, 293628, 294668, 3284]"
u102414,"[7565, 6978, 5519, 5782, 6817, 487693]"
u104774,"[323659, 323912, 323391, 322286, 322451, 532958]"
u101736,"[6534, 6528, 7661, 6039, 5024, 487671]"
u105467,"[292870, 290106, 292697, 290191, 294778, 1856]"
u107180,"[322124, 322015, 324385, 322036, 322918, 474627]"
u101483,"[5992, 6702, 4959, 7061, 7227, 511548]"
u106433,"[324506, 323590, 324683, 323104, 322644, 1542]"
u101883,"[6460, 7115, 5201, 6020, 6801, 511328]"
u101493,"[5890, 6730, 6827, 5082, 6389, 495558]"
u108698,"[2795, 945, 3364, 3354, 599, 323045]"
u105568,"[293321, 294270, 295037, 294675, 293270, 1126]"
u101465,"[5943, 6627, 7066, 6204, 5400, 488406]"
u106874,"[323460, 324383, 324016, 324627, 324625, 1460]"
u103840,"[323686, 323863, 323350, 322142, 322013, 472396]"
u102848,"[6532, 7303, 5105, 5886, 7015, 511371]"
u101323,"[4949, 5905, 6707, 6729, 6282, 511352]"
u102788,"[5948, 7406, 7685, 5630, 6323, 513400]"
u106731,"[323271, 322119, 322684, 324112, 323657, 2701]"
u101537,"[5463, 5760, 6513, 7141, 5220, 495525]"
u101952,"[6195, 5768, 6163, 6123, 5325, 487327]"
u105525,"[295163, 294649, 290045, 294552, 293013, 2924]"
u102853,"[6345, 5544, 6579, 5030, 6493, 487035]"
u108095,"[997, 2481, 1300, 3300, 809, 322891]"
u107570,"[324133, 323342, 323896, 323480, 323752, 471864]"
u101453,"[7612, 6037, 6080, 5052, 6968, 511523]"
u107627,"[323041, 323688, 323203, 323571, 323291, 471210]"
u103517,"[321922, 323137, 324000, 324648, 324755, 473896]"
u106425,"[322866, 324686, 322554, 322336, 322521, 1207]"
u103708,"[322690, 322233, 321946, 324181, 322485, 473646]"
u104845,"[322336, 323708, 324343, 324217, 324285, 474131]"
u105865,"[294766, 295090, 294911, 290146, 293414, 2085]"
u102842,"[7843, 5137, 6033, 7287, 7809, 486914]"
u101380,"[7617, 7533, 7647, 6687, 5664, 513118]"
u101770,"[6011, 5660, 6849, 6142, 7566, 488241]"
u103122,"[324110, 322196, 322083, 324522, 324654, 530630]"
u102475,"[5009, 5926, 6113, 6843, 5322, 495262]"
u108820,"[2380, 1906, 3387, 2468, 1162, 323963]"
u101823,"[7800, 5808, 5022, 6481, 7457, 487426]"
u107120,"[324413, 322554, 324020, 322519, 324668, 471882]"
u104199,"[324718, 321850, 323234, 324562, 322310, 473224]"
u102167,"[7881, 6355, 7849, 5444, 5396, 513359]"
u103664,"[323271, 324664, 322347, 322724, 322188, 472561]"
u106764,"[322069, 323362, 323600, 323407, 324126, 790]"
u105740,"[293530, 295084, 294869, 294884, 292954, 806]"
u108647,"[808, 3144, 2855, 1378, 3524, 322407]"
u107982,"[322492, 322177, 322204, 324023, 322103, 184]"
u105249,"[294145, 290154, 293773, 294297, 295362, 2540]"
u106523,"[323187, 322878, 322981, 322775, 323932, 1202]"
u106870,"[322541, 323208, 321980, 322666, 323772, 2740]"
u106878,"[322552, 324170, 322148, 323544, 322073, 3208]"
u104666,"[324451, 323589, 323241, 323768, 323147, 532233]"
u108761,"[1244, 1277, 3027, 3145, 1475, 323669]"
u104986,"[322920, 323504, 321913, 322692, 324423, 532436]"
u103431,"[323542, 324485, 322966, 324628, 324601, 532259]"
u105983,"[292846, 295260, 293420, 290097, 293693, 3436]"
u101541,"[6832, 7114, 7615, 5668, 6227, 512741]"
u106339,"[101, 324631, 324374, 324580, 322365, 2971]"
u107475,"[321863, 324063, 324678, 323969, 323981, 474444]"
u107532,"[322766, 323324, 322619, 324048, 323597, 189]"
u106684,"[322021, 322348, 324078, 324391, 323639, 2491]"
u108163,"[3353, 1502, 1629, 3209, 2193, 323547]"
u102326,"[5007, 6986, 5940, 6375, 6321, 487719]"
u105047,"[294587, 292747, 294507, 293208, 290059, 3293]"
u106810,"[322943, 93, 323115, 324162, 324549, 611]"
u103930,"[323735, 322992, 323668, 323484, 323318, 473590]"
u105083,"[294581, 294990, 295310, 294596, 295227, 3360]"
u104534,"[324548, 321882, 321855, 324297, 321909, 472781]"
u101837,"[4961, 7677, 5322, 7596, 5242, 512837]"
u101154,"[6449, 7164, 7395, 6805, 5849, 511422]"
u106984,"[322579, 322465, 323475, 323779, 323033, 3388]"
u107126,"[323144, 322112, 324308, 323149, 323446, 472215]"
u108420,"[2283, 1716, 628, 3374, 3347, 324112]"
u108661,"[2360, 1562, 1366, 3195, 1286, 322295]"
u102121,"[7471, 7315, 5163, 6166, 7161, 495545]"
u103401,"[322668, 322533, 323352, 324073, 321936, 513351]"
u104660,"[89, 321948, 322158, 324067, 322368, 473314]"
u105075,"[290079, 293980, 295281, 294732, 293538, 2622]"
u106787,"[322283, 322252, 324415, 322113, 323771, 740]"
u105713,"[294409, 292991, 292946, 294565, 294204, 1157]"
u106475,"[323118, 324143, 322808, 323349, 83, 2212]"
u103957,"[324622, 323370, 322173, 322537, 323847, 474169]"
u106729,"[323216, 324505, 323663, 324655, 323479, 1429]"
u102636,"[6771, 7437, 6591, 5048, 7498, 487429]"
u107190,"[324169, 323878, 323857, 323652, 323850, 272]"
u107172,"[322365, 324500, 322676, 323702, 324513, 470595]"
u102324,"[6405, 6253, 6240, 5412, 7670, 488129]"
u103734,"[324208, 323790, 323703, 322945, 323822, 513934]"
u107582,"[322545, 321989, 322672, 323701, 322141, 470472]"
u107101,"[86, 101, 324094, 323255, 324138, 471495]"
u104418,"[323458, 323009, 324629, 323422, 322708, 472763]"
u105378,"[290228, 294118, 294902, 294219, 292828, 2465]"
u105496,"[294113, 294682, 294130, 295042, 295000, 1023]"
u101431,"[6958, 5082, 6281, 6825, 7705, 487217]"
u108575,"[868, 1298, 2802, 1120, 1763, 323488]"
u101733,"[7506, 7287, 6668, 6663, 7607, 486936]"
u101393,"[5139, 7398, 5947, 7826, 5820, 512640]"
u106502,"[323167, 321899, 323968, 324312, 323575, 3156]"
u106648,"[322561, 323956, 321863, 323046, 324177, 869]"
u107476,"[322519, 323262, 322668, 322633, 324285, 471458]"
u105783,"[294360, 294033, 293127, 293704, 293602, 1896]"
u103315,"[322933, 322328, 322252, 322126, 322986, 474088]"
u103091,"[324134, 323852, 323395, 322403, 323892, 472413]"
u103770,"[323589, 324504, 322489, 324605, 324244, 474109]"
u101504,"[6845, 7066, 6253, 7590, 5022, 487766]"
u108228,"[2657, 3191, 954, 1805, 1290, 322364]"
u102283,"[6044, 6981, 7711, 7098, 7793, 495221]"
u101951,"[5216, 5977, 5264, 6601, 6409, 487569]"
u105792,"[293645, 294668, 293037, 294190, 293093, 1170]"
u101591,"[6477, 5798, 6001, 6136, 6046, 486933]"
u107549,"[323499, 324200, 322153, 321944, 323052, 470689]"
u107715,"[323822, 323417, 322277, 323928, 322774, 471890]"
u104239,"[324706, 322786, 323500, 324404, 322947, 530833]"
u107119,"[322482, 324324, 322770, 323072, 323382, 472271]"
u105271,"[293342, 293099, 294560, 290053, 290067, 872]"
u101048,"[5467, 7019, 5732, 5325, 4953, 488072]"
u108164,"[2232, 1697, 1247, 1104, 1407, 324289]"
u108881,"[2159, 1830, 1109, 1435, 3503, 322232]"
u105399,"[293618, 293259, 293370, 293664, 295314, 3167]"
u101370,"[5066, 7134, 5071, 7326, 6682, 488314]"
u106411,"[322523, 323118, 323534, 324673, 322845, 2872]"
u107342,"[322559, 322409, 324548, 324130, 323207, 470412]"
u108987,"[1850, 3293, 1099, 1449, 2024, 323591]"
u103070,"[322225, 323898, 323214, 324736, 324158, 531818]"
u106030,"[321946, 322361, 324544, 324313, 324758, 2784]"
